Enumeration,Unit,Unit type
75,kilometers-per-hour,Velocitym
76,feet-per-second,Velocitym
77,feet-per-minute,Velocitym
78,miles-per-hour,Velocitym
79,cubic-feet,Volume
80,cubic-meters,Volume
81,imperial-gallons,Volume
197,milliliters,Volume
82,liters,Volume
83,us-gallons,Volume
142,cubic-feet-per-second,Volumetric Flow
84,cubic-feet-per-minute,Volumetric Flow
254,million-standard-cubic-feet-per-minute,Volumetric Flow
191,cubic-feet-per-hour,Volumetric Flow
248,cubic-feet-per-day,Volumetric Flow
47808,standard-cubic-feet-per-day,Volumetric Flow
47809,million-standard-cubic-feet-per-day,Volumetric Flow
47810,thousand-cubic-feet-per-day,Volumetric Flow
47811,thousand-standard-cubic-feet-per-day,Volumetric Flow
47812,pounds-mass-per-day,Volumetric Flow
85,cubic-meters-per-second,Volumetric Flow
165,cubic-meters-per-minute,Volumetric Flow
135,cubic-meters-per-hour,Volumetric Flow
249,cubic-meters-per-day,Volumetric Flow
86,imperial-gallons-per-minute,Volumetric Flow
198,milliliters-per-second,Volumetric Flow
87,liters-per-second,Volumetric Flow
88,liters-per-minute,Volumetric Flow
136,liters-per-hour,Volumetric Flow
89,us-gallons-per-minute,Volumetric Flow
192,us-gallons-per-hour,Volumetric Flow
90,degrees-angular,Other
91,degrees-celsius-per-hour,Other
92,degrees-celsius-per-minute,Other
93,degrees-fahrenheit-per-hour,Other
94,degrees-fahrenheit-per-minute,Other
183,joule-seconds,Other
186,kilograms-per-cubic-meter,Other
137,kilowatt-hours-per-square-meter,Other
138,kilowatt-hours-per-square-foot,Other
250,watt-hours-per-cubic-meter,Other
251,joules-per-cubic-meter,Other
139,megajoules-per-square-meter,Other
140,megajoules-per-square-foot,Other
252,mole-percent,Other
95,no-units,Other
187,newton-seconds,Other
188,newtons-per-meter,Other
96,parts-per-million,Other
97,parts-per-billion,Other
253,pascal-seconds,Other
98,percent,Other
143,percent-obscuration-per-foot,Other
144,percent-obscuration-per-meter,Other
99,percent-per-second,Other
100,per-minute,Other
101,per-second,Other
102,psi-per-degree-fahrenheit,Other
103,radians,Other
184,radians-per-second,Other
104,revolutions-per-minute,Other
185,square-meters-per-newton,Other
189,watts-per-meter-per-degree-kelvin,Other
141,watts-per-square-meter-degree-kelvin,Other
207,per-mille,Other
208,grams-per-gram,Other
209,kilograms-per-kilogram,Other
210,grams-per-kilogram,Other
211,milligrams-per-gram,Other
212,milligrams-per-kilogram,Other
213,grams-per-milliliter,Other
214,grams-per-liter,Other
215,milligrams-per-liter,Other
216,micrograms-per-liter,Other
217,grams-per-cubic-meter,Other
218,milligrams-per-cubic-meter,Other
219,micrograms-per-cubic-meter,Other
220,nanograms-per-cubic-meter,Other
221,grams-per-cubic-centimeter,Other
222,becquerels,Other
223,kilobecquerels,Other
224,megabecquerels,Other
225,gray,Other
226,milligray,Other
227,microgray,Other
228,sieverts,Other
229,millisieverts,Other
230,microsieverts,Other
231,microsieverts-per-hour,Other
47814,millirems,Other
47815,millirems-per-hour,Other
232,decibels-a,Other
233,nephelometric-turbidity-unit,Other
234,pH,Other
235,grams-per-square-meter,Other
236,minutes-per-degree-kelvin,Other
